ID	RoofID	RoofName	Veg_Type	Species 	Genus	Family	Life_form	Roof_age	Age
MR_7_P4	MR_7	5Boro_Wildflower	Mixed_vegetation	Helianthus tuberosus	Helianthus	Asteraceae	Forb	2009	2009-2012
MR_7_P5	MR_7	5Boro_Wildflower	Mixed_vegetation	Helianthus tuberosus	Helianthus	Asteraceae	Forb	2009	2009-2012
MR_7_P7	MR_7	5Boro_Wildflower	Mixed_vegetation	Helianthus tuberosus	Helianthus	Asteraceae	Forb	2009	2009-2012
MR_7_P8	MR_7	5Boro_Wildflower	Mixed_vegetation	Helianthus tuberosus	Helianthus	Asteraceae	Forb	2009	2009-2012
MR_16_T1_2	MR_16	Grand_Street	Mixed_vegetation	Liatrus spicata	Liatris	Asteraceae	Forb	2004	2004-2008
MR_7_P1	MR_7	5Boro_Wildflower	Mixed_vegetation	Liatrus spicata	Liatris	Asteraceae	Forb	2009	2009-2012
MR_8_P4	MR_8	5Boro_Bioroof	Mixed_vegetation	Liatrus spicata	Liatris	Asteraceae	Forb	2010	2009-2012
MR_9_P1	MR_9	Rockaways	Mixed_vegetation	Nasella sp.	Nasella	Poaceae	Grass	2016	2013-2017
MR_9_P4	MR_9	Rockaways	Mixed_vegetation	Nasella sp.	Nasella	Poaceae	Grass	2016	2013-2017
MR_9_P5	MR_9	Rockaways	Mixed_vegetation	Nasella sp.	Nasella	Poaceae	Grass	2016	2013-2017
MR_9_P6	MR_9	Rockaways	Mixed_vegetation	Nasella sp.	Nasella	Poaceae	Grass	2016	2013-2017
MR_1_P1	MR_1	Diana_Center	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_1_P2	MR_1	Diana_Center	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_1_P3	MR_1	Diana_Center	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_1_P4	MR_1	Diana_Center	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_1_P5	MR_1	Diana_Center	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_1_P6	MR_1	Diana_Center	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_1_P8	MR_1	Diana_Center	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_1_P9	MR_1	Diana_Center	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_10_P1	MR_10	Sorrentino	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_10_P2	MR_10	Sorrentino	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_10_P3	MR_10	Sorrentino	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
